Lenlab red 7.5 Voltmeter-Daten
Zeit;Kanal_4
0;2.00449
0.1;1.99966
0.2;2.00288
0.3;2.00208
0.4;1.99644
0.5;1.99644
0.6;1.99402
0.7;2.00046
0.8;1.99966
0.9;1.99402
1;2.00127
1.1;1.99482
1.2;1.99321
1.3;1.99402
1.4;1.99724
1.5;1.99563
1.6;1.99402
1.7;1.9908
1.8;2.01255
1.9;1.96018
2;1.98354
2.1;1.97388
2.2;1.97629
2.3;1.97629
2.4;1.96663
2.5;1.9771
2.6;1.96663
2.7;1.97065
2.8;1.97146
2.9;1.96904
3;1.96985
3.1;1.9626
3.2;1.96179
3.3;1.96099
3.4;1.96179
3.5;1.96099
3.6;1.95615
3.7;1.95937
3.8;1.95937
3.9;1.96582
4;1.96421
4.1;1.95937
4.2;1.96421
4.3;1.95937
4.4;1.95696
4.5;1.95937
4.6;1.96018
4.7;1.96018
4.8;1.96018
4.9;1.95776
5;1.95776
5.1;1.95374
5.2;1.95615
5.3;1.95454
5.4;1.95615
5.5;1.95293
5.6;1.95374
5.7;1.9489
5.8;1.9489
5.9;1.9489
6;1.94971
6.1;1.9489
6.2;1.94729
6.3;1.95212
6.4;1.94729
6.5;1.95212
6.6;1.94648
6.7;1.94326
6.8;1.94487
6.9;1.94648
7;1.94326
7.1;1.94004
7.2;1.94246
7.3;1.94487
7.4;1.94407
7.5;1.94084
7.6;1.93843
7.7;1.94246
7.8;1.94246
7.9;1.93843
8;1.94165
8.1;1.94084
8.2;1.93601
8.3;1.93682
8.4;1.93762
8.5;1.93923
8.6;1.93359
8.7;1.93762
8.8;1.93682
8.9;1.93279
