Lenlab red 7.5 Voltmeter-Daten
Zeit;Kanal_4
0;2.50239
0.1;2.50239
0.2;2.50481
0.3;2.49998
0.4;2.504
0.5;2.50481
0.6;2.50159
0.7;2.49756
0.8;2.504
0.9;2.49675
1;2.49836
1.1;2.50239
1.2;2.49917
1.3;2.49756
1.4;2.50159
1.5;2.50481
1.6;2.50159
1.7;2.49917
1.8;2.49675
1.9;2.50159
2;2.49675
2.1;2.49675
2.2;2.50159
2.3;2.49756
2.4;2.49756
2.5;2.49514
2.6;2.49836
2.7;2.49434
2.8;2.50159
2.9;2.50078
3;2.49514
3.1;2.49595
3.2;2.49595
3.3;2.49514
3.4;2.50159
3.5;2.5032
3.6;2.49998
3.7;2.49998
3.8;2.49595
3.9;2.49434
4;2.49514
4.1;2.50159
4.2;2.49998
4.3;2.49917
4.4;2.49917
4.5;2.50078
4.6;2.50078
4.7;2.49595
4.8;2.49756
4.9;2.50159
5;2.49595
5.1;2.49998
5.2;2.49514
5.3;2.49998
5.4;2.50159
5.5;2.49353
5.6;2.49514
5.7;2.49353
5.8;2.49434
5.9;2.50159
6;2.49272
6.1;2.49434
6.2;2.49514
6.3;2.49998
6.4;2.49998
6.5;2.50078
6.6;2.49917
6.7;2.49675
6.8;2.49272
6.9;2.49595
7;2.50078
7.1;2.49756
7.2;2.49756
7.3;2.49353
7.4;2.49514
7.5;2.49836
7.6;2.49595
7.7;2.49998
7.8;2.49998
