Lenlab red 7.5 Voltmeter-Daten
Zeit;Kanal_4
0;0.012085
0.1;0.0112793
0.2;0.012085
0.3;0.0104736
0.4;0.0128906
0.5;0.012085
0.6;0.0112793
0.7;0.0104736
0.8;0.0112793
0.9;0.012085
1;0.0104736
1.1;0.0128906
1.2;0.012085
1.3;0.0112793
1.4;0.0088623
1.5;0.00966797
1.6;0.0112793
1.7;0.012085
1.8;0.012085
1.9;0.00966797
2;0.0128906
2.1;0.0104736
2.2;0.0773438
2.3;0.0966797
2.4;0.106348
2.5;0.112793
2.6;0.12085
2.7;0.124072
2.8;0.131323
2.9;0.136157
3;0.140186
3.1;0.147437
3.2;0.153882
3.3;0.157104
3.4;0.156299
3.5;0.161938
3.6;0.165161
3.7;0.169995
3.8;0.169995
3.9;0.173218
4;0.174829
4.1;0.177246
4.2;0.178052
4.3;0.186108
4.4;0.186108
4.5;0.188525
4.6;0.190137
4.7;0.195776
4.8;0.199805
4.9;0.204639
5;0.205444
5.1;0.207861
5.2;0.208667
5.3;0.210278
5.4;0.215918
5.5;0.219946
5.6;0.218335
5.7;0.221558
5.8;0.223169
5.9;0.222363
6;0.225586
6.1;0.226392
6.2;0.225586
6.3;0.23042
6.4;0.232837
6.5;0.23606
6.6;0.233643
6.7;0.235254
6.8;0.240894
6.9;0.240894
7;0.241699
7.1;0.245728
7.2;0.247339
7.3;0.248145
7.4;0.252979
7.5;0.250562
7.6;0.252979
7.7;0.255396
7.8;0.258618
7.9;0.258618
8;0.261035
8.1;0.263452
8.2;0.265869
8.3;0.265869
8.4;0.266675
8.5;0.268286
8.6;0.271509
8.7;0.270703
8.8;0.274731
8.9;0.275537
9;0.276343
9.1;0.277954
9.2;0.27876
9.3;0.279565
9.4;0.280371
9.5;0.282788
9.6;0.284399
9.7;0.284399
9.8;0.290039
9.9;0.290039
10;0.292456
10.1;0.294873
10.2;0.293262
10.3;0.296484
10.4;0.296484
10.5;0.298901
10.6;0.298901
10.7;0.30293
10.8;0.301318
10.9;0.304541
11;0.303735
11.1;0.309375
11.2;0.306958
11.3;0.310181
11.4;0.311792
11.5;0.310986
11.6;0.313403
11.7;0.314209
11.8;0.317432
11.9;0.319849
12;0.320654
12.1;0.322266
12.2;0.322266
12.3;0.327905
12.4;0.326294
12.5;0.325488
12.6;0.3271
12.7;0.329517
12.8;0.329517
12.9;0.331128
13;0.332739
13.1;0.331934
13.2;0.334351
13.3;0.335156
13.4;0.335962
13.5;0.337573
13.6;0.340796
13.7;0.33999
13.8;0.343213
13.9;0.34563
14;0.344019
14.1;0.347241
14.2;0.348853
14.3;0.349658
14.4;0.348853
14.5;0.35127
14.6;0.352075
14.7;0.355298
14.8;0.356104
14.9;0.357715
15;0.358521
15.1;0.359326
15.2;0.358521
15.3;0.362549
15.4;0.360132
15.5;0.363354
15.6;0.364966
15.7;0.364966
15.8;0.370605
15.9;0.371411
16;0.370605
16.1;0.371411
16.2;0.373828
16.3;0.373022
16.4;0.376245
16.5;0.374634
16.6;0.377051
16.7;0.378662
16.8;0.378662
16.9;0.379468
17;0.381079
17.1;0.381885
17.2;0.381885
17.3;0.38269
17.4;0.385107
17.5;0.384302
17.6;0.390747
17.7;0.393164
17.8;0.393164
17.9;0.39397
18;0.389941
18.1;0.397998
18.2;0.395581
18.3;0.397998
18.4;0.397998
18.5;0.400415
18.6;0.403638
18.7;0.401221
18.8;0.402026
18.9;0.40686
19;0.408472
19.1;0.408472
19.2;0.407666
19.3;0.411694
19.4;0.410889
19.5;0.4125
19.6;0.416528
19.7;0.417334
19.8;0.416528
19.9;0.421362
20;0.423779
20.1;0.422974
20.2;0.425391
20.3;0.426196
20.4;0.424585
20.5;0.426196
20.6;0.427002
20.7;0.430225
20.8;0.429419
20.9;0.43103
21;0.429419
21.1;0.432642
21.2;0.433447
21.3;0.433447
21.4;0.435059
21.5;0.435059
21.6;0.435864
21.7;0.435864
21.8;0.439087
21.9;0.439893
22;0.439087
22.1;0.441504
22.2;0.444727
22.3;0.443115
22.4;0.446338
22.5;0.446338
22.6;0.447144
22.7;0.449561
22.8;0.450366
22.9;0.449561
23;0.452783
23.1;0.451172
23.2;0.451172
23.3;0.457617
23.4;0.459229
23.5;0.456812
23.6;0.460034
23.7;0.464062
23.8;0.460034
23.9;0.464062
24;0.464868
24.1;0.464062
24.2;0.464062
24.3;0.464868
24.4;0.467285
24.5;0.469702
24.6;0.472925
24.7;0.471313
24.8;0.472925
24.9;0.47373
25;0.472925
25.1;0.474536
25.2;0.476147
25.3;0.477759
25.4;0.47937
25.5;0.47937
25.6;0.481787
25.7;0.482593
25.8;0.483398
25.9;0.482593
26;0.482593
26.1;0.482593
26.2;0.487427
26.3;0.487427
26.4;0.486621
26.5;0.489844
26.6;0.490649
26.7;0.491455
26.8;0.493872
26.9;0.496289
27;0.493872
27.1;0.4979
27.2;0.497095
27.3;0.498706
27.4;0.500317
27.5;0.499512
27.6;0.50354
27.7;0.501929
27.8;0.505957
27.9;0.507568
28;0.508374
28.1;0.50918
28.2;0.510791
28.3;0.512402
28.4;0.514014
28.5;0.512402
28.6;0.514819
28.7;0.513208
28.8;0.514819
28.9;0.514819
29;0.517236
29.1;0.518848
29.2;0.521265
29.3;0.520459
29.4;0.524487
29.5;0.522876
29.6;0.524487
29.7;0.523682
29.8;0.528516
29.9;0.528516
30;0.530933
30.1;0.530933
30.2;0.531738
30.3;0.53335
30.4;0.531738
30.5;0.53335
30.6;0.53335
30.7;0.537378
30.8;0.536572
30.9;0.538184
31;0.538184
31.1;0.540601
31.2;0.538184
31.3;0.538989
31.4;0.541406
31.5;0.544629
31.6;0.545435
31.7;0.547046
31.8;0.547046
31.9;0.549463
32;0.551074
32.1;0.547852
32.2;0.55188
32.3;0.554297
32.4;0.552686
32.5;0.555103
32.6;0.554297
32.7;0.559131
32.8;0.559937
32.9;0.559131
33;0.559937
33.1;0.559131
33.2;0.560742
33.3;0.560742
33.4;0.565576
33.5;0.564771
33.6;0.567187
33.7;0.565576
33.8;0.567187
33.9;0.571216
34;0.568799
34.1;0.572021
34.2;0.572021
34.3;0.572021
34.4;0.574438
34.5;0.574438
34.6;0.57605
34.7;0.577661
34.8;0.57605
34.9;0.580078
35;0.578467
35.1;0.579272
35.2;0.580078
35.3;0.580884
35.4;0.583301
35.5;0.582495
35.6;0.584912
35.7;0.584106
35.8;0.586523
35.9;0.585718
36;0.588135
36.1;0.588135
36.2;0.589746
36.3;0.592969
36.4;0.59458
36.5;0.590552
36.6;0.595386
36.7;0.59458
36.8;0.598608
36.9;0.599414
37;0.598608
37.1;0.601831
37.2;0.602637
37.3;0.603442
37.4;0.605859
37.5;0.603442
37.6;0.604248
37.7;0.603442
37.8;0.606665
37.9;0.606665
38;0.609888
38.1;0.609888
38.2;0.612305
38.3;0.610693
38.4;0.615527
38.5;0.613916
38.6;0.614722
38.7;0.617944
38.8;0.617139
38.9;0.617139
39;0.622778
39.1;0.623584
39.2;0.62439
39.3;0.623584
39.4;0.622778
39.5;0.625195
39.6;0.625195
39.7;0.628418
39.8;0.629224
39.9;0.627612
40;0.628418
40.1;0.632446
40.2;0.632446
40.3;0.632446
40.4;0.634058
40.5;0.636475
40.6;0.636475
40.7;0.635669
40.8;0.636475
40.9;0.638892
41;0.641309
41.1;0.638086
41.2;0.640503
41.3;0.639697
41.4;0.643726
41.5;0.642114
41.6;0.64292
41.7;0.644531
41.8;0.645337
41.9;0.647754
42;0.646143
42.1;0.650977
42.2;0.650171
42.3;0.651782
42.4;0.651782
42.5;0.651782
42.6;0.653394
42.7;0.656616
42.8;0.655811
42.9;0.658228
43;0.657422
43.1;0.660645
43.2;0.657422
43.3;0.660645
43.4;0.663867
43.5;0.663062
43.6;0.660645
43.7;0.663867
43.8;0.665479
43.9;0.665479
44;0.667896
44.1;0.670312
44.2;0.668701
44.3;0.667896
44.4;0.671118
44.5;0.671118
44.6;0.670312
44.7;0.676758
44.8;0.675146
44.9;0.674341
45;0.676758
45.1;0.675952
45.2;0.677563
45.3;0.67998
45.4;0.683203
45.5;0.683203
45.6;0.679175
45.7;0.681592
45.8;0.683203
45.9;0.684009
46;0.68562
46.1;0.68562
46.2;0.686426
46.3;0.688037
46.4;0.688843
46.5;0.688037
46.6;0.689648
46.7;0.692871
46.8;0.69126
46.9;0.689648
47;0.694482
47.1;0.695288
47.2;0.696899
47.3;0.696094
47.4;0.699316
47.5;0.699316
47.6;0.697705
47.7;0.702539
47.8;0.701733
47.9;0.70415
48;0.703345
48.1;0.704956
48.2;0.705762
48.3;0.706567
48.4;0.708984
48.5;0.707373
48.6;0.710596
48.7;0.711401
48.8;0.712207
48.9;0.712207
49;0.712207
49.1;0.714624
49.2;0.712207
49.3;0.71543
49.4;0.717847
49.5;0.721069
49.6;0.719458
49.7;0.720264
49.8;0.720264
49.9;0.721875
50;0.720264
50.1;0.725903
50.2;0.725903
50.3;0.723486
50.4;0.722681
50.5;0.725098
50.6;0.725903
50.7;0.726709
50.8;0.729126
50.9;0.733154
51;0.730737
51.1;0.733154
51.2;0.736377
51.3;0.732349
51.4;0.732349
51.5;0.733154
51.6;0.737183
51.7;0.735571
51.8;0.737183
51.9;0.741211
52;0.7396
52.1;0.7396
52.2;0.742017
52.3;0.742822
52.4;0.744434
52.5;0.742822
52.6;0.745239
52.7;0.745239
52.8;0.746045
52.9;0.745239
53;0.747656
53.1;0.748462
53.2;0.749268
53.3;0.750073
53.4;0.750879
53.5;0.753296
53.6;0.754907
53.7;0.756519
53.8;0.75249
53.9;0.757324
54;0.755713
54.1;0.757324
54.2;0.760547
54.3;0.760547
54.4;0.759741
54.5;0.762964
54.6;0.760547
54.7;0.76377
54.8;0.764575
54.9;0.762964
55;0.764575
55.1;0.766992
55.2;0.769409
55.3;0.768604
55.4;0.769409
55.5;0.771021
55.6;0.774243
55.7;0.772632
55.8;0.773438
55.9;0.771021
56;0.773438
56.1;0.774243
56.2;0.775049
56.3;0.778271
56.4;0.779883
56.5;0.777466
56.6;0.779883
56.7;0.781494
56.8;0.780688
56.9;0.783105
57;0.783105
57.1;0.783105
57.2;0.784717
57.3;0.783911
57.4;0.786328
57.5;0.784717
57.6;0.785522
57.7;0.786328
57.8;0.787939
57.9;0.789551
58;0.790356
58.1;0.790356
58.2;0.790356
58.3;0.791162
58.4;0.792773
58.5;0.792773
58.6;0.795996
58.7;0.794385
58.8;0.79519
58.9;0.792773
59;0.797607
59.1;0.799219
59.2;0.796802
59.3;0.800024
59.4;0.80083
59.5;0.799219
59.6;0.803247
59.7;0.804858
59.8;0.805664
59.9;0.803247
60;0.808081
60.1;0.805664
60.2;0.808887
60.3;0.808081
60.4;0.811304
60.5;0.808887
60.6;0.811304
60.7;0.814526
60.8;0.814526
60.9;0.813721
61;0.811304
61.1;0.812915
61.2;0.816138
61.3;0.820166
61.4;0.820166
61.5;0.820166
61.6;0.820166
61.7;0.823389
61.8;0.823389
61.9;0.821777
62;0.824194
62.1;0.829028
62.2;0.827417
62.3;0.825806
62.4;0.829028
62.5;0.825806
62.6;0.829834
62.7;0.829028
62.8;0.83064
62.9;0.834668
63;0.833057
63.1;0.834668
63.2;0.836279
63.3;0.835474
63.4;0.834668
63.5;0.837891
63.6;0.837085
63.7;0.837085
63.8;0.838696
63.9;0.839502
64;0.841113
64.1;0.841113
64.2;0.84353
