Lenlab red 7.5 Voltmeter-Daten
Zeit;Kanal_4
0;0.0104736
0.1;0.0112793
0.2;0.00966797
0.3;0.0112793
0.4;0.0112793
0.5;0.0112793
0.6;0.0112793
0.7;0.0112793
0.8;0.0136963
0.9;0.012085
1;0.012085
1.1;0.012085
1.2;0.0112793
1.3;0.0104736
1.4;0.0628418
1.5;0.0878174
1.6;0.098291
1.7;0.108765
1.8;0.117627
1.9;0.123267
2;0.128906
2.1;0.131323
2.2;0.141797
2.3;0.143408
2.4;0.149854
2.5;0.154688
2.6;0.158716
2.7;0.161938
2.8;0.166772
2.9;0.169995
3;0.173218
3.1;0.174023
3.2;0.179663
3.3;0.180469
3.4;0.185303
3.5;0.188525
3.6;0.192554
3.7;0.194971
3.8;0.20061
3.9;0.203833
4;0.207056
4.1;0.207056
4.2;0.211084
4.3;0.214307
4.4;0.222363
4.5;0.222363
4.6;0.223975
4.7;0.223975
4.8;0.227197
4.9;0.229614
5;0.23042
5.1;0.234448
5.2;0.237671
5.3;0.239282
5.4;0.241699
5.5;0.241699
5.6;0.246533
5.7;0.24895
5.8;0.251367
5.9;0.252979
6;0.257007
6.1;0.257007
6.2;0.258618
6.3;0.260229
6.4;0.265869
6.5;0.263452
6.6;0.26748
6.7;0.269897
6.8;0.272314
6.9;0.273926
7;0.275537
7.1;0.275537
7.2;0.277148
7.3;0.27876
7.4;0.285205
7.5;0.286011
7.6;0.287622
7.7;0.287622
7.8;0.290039
7.9;0.294873
8;0.296484
8.1;0.29729
8.2;0.298901
8.3;0.305347
8.4;0.304541
8.5;0.306958
8.6;0.306958
8.7;0.310181
8.8;0.310181
8.9;0.314209
9;0.315015
9.1;0.318237
9.2;0.317432
9.3;0.319043
9.4;0.323071
9.5;0.326294
9.6;0.326294
9.7;0.329517
9.8;0.328711
9.9;0.331128
10;0.333545
10.1;0.334351
10.2;0.335962
10.3;0.336768
10.4;0.342407
10.5;0.341602
10.6;0.342407
10.7;0.342407
10.8;0.349658
10.9;0.350464
11;0.353687
11.1;0.354492
11.2;0.353687
11.3;0.356909
