Lenlab red 7.5 Voltmeter-Daten
Zeit;Kanal_4
0;0.014502
0.1;0.0136963
0.2;0.012085
0.3;0.012085
0.4;0.012085
0.5;0.0161133
0.6;0.0153076
0.7;0.0153076
0.8;0.0459229
0.9;0.0563965
1;0.0612305
1.1;0.0620361
1.2;0.0660645
1.3;0.0668701
1.4;0.0692871
1.5;0.0708984
1.6;0.0708984
1.7;0.0725098
1.8;0.0733154
1.9;0.0733154
2;0.0789551
2.1;0.0789551
2.2;0.0773438
2.3;0.0821777
2.4;0.0829834
2.5;0.0821777
2.6;0.0805664
2.7;0.0845947
2.8;0.0854004
2.9;0.0862061
3;0.088623
3.1;0.088623
3.2;0.088623
3.3;0.0918457
3.4;0.09104
3.5;0.09104
3.6;0.0902344
3.7;0.0902344
3.8;0.0926514
3.9;0.0942627
4;0.0942627
4.1;0.093457
4.2;0.0926514
4.3;0.093457
4.4;0.098291
4.5;0.0950684
4.6;0.0966797
4.7;0.0950684
4.8;0.095874
4.9;0.095874
5;0.095874
5.1;0.0999023
5.2;0.095874
5.3;0.0990967
5.4;0.0990967
5.5;0.0990967
5.6;0.098291
5.7;0.0974854
5.8;0.0966797
5.9;0.100708
6;0.101514
6.1;0.102319
6.2;0.101514
6.3;0.101514
6.4;0.100708
6.5;0.103931
6.6;0.103125
6.7;0.103125
6.8;0.102319
6.9;0.101514
7;0.100708
7.1;0.104736
7.2;0.103931
7.3;0.103125
7.4;0.104736
7.5;0.103125
7.6;0.103125
7.7;0.104736
7.8;0.104736
7.9;0.105542
8;0.105542
8.1;0.105542
8.2;0.104736
8.3;0.106348
8.4;0.103125
8.5;0.105542
8.6;0.105542
8.7;0.103931
8.8;0.104736
8.9;0.106348
9;0.105542
9.1;0.105542
9.2;0.107959
9.3;0.107153
9.4;0.107959
9.5;0.106348
9.6;0.105542
9.7;0.107153
9.8;0.108765
9.9;0.108765
10;0.107959
10.1;0.107959
10.2;0.110376
10.3;0.10957
10.4;0.111987
10.5;0.108765
10.6;0.107959
10.7;0.107959
10.8;0.110376
10.9;0.106348
11;0.107959
11.1;0.10957
11.2;0.111182
11.3;0.107959
11.4;0.108765
11.5;0.110376
11.6;0.108765
11.7;0.111987
11.8;0.111182
11.9;0.10957
12;0.111182
12.1;0.111987
12.2;0.114404
12.3;0.111182
12.4;0.110376
12.5;0.112793
12.6;0.113599
12.7;0.113599
12.8;0.111182
12.9;0.112793
13;0.10957
13.1;0.111987
13.2;0.113599
13.3;0.110376
13.4;0.114404
13.5;0.114404
13.6;0.11521
13.7;0.11521
13.8;0.116016
13.9;0.113599
14;0.113599
14.1;0.111987
14.2;0.112793
14.3;0.11521
14.4;0.114404
14.5;0.113599
14.6;0.112793
14.7;0.113599
14.8;0.11521
14.9;0.114404
