Lenlab red 7.5 Voltmeter-Daten
Zeit;Kanal_4
0;0.0128906
0.1;0.0128906
0.2;0.0128906
0.3;0.012085
0.4;0.0128906
0.5;0.0104736
0.6;0.00966797
0.7;0.0112793
0.8;0.0112793
0.9;0.0112793
1;0.00966797
1.1;0.143408
1.2;0.169995
1.3;0.185303
1.4;0.20061
1.5;0.218335
1.6;0.22478
1.7;0.232837
1.8;0.242505
1.9;0.24895
2;0.256201
2.1;0.263452
2.2;0.268286
2.3;0.274731
2.4;0.27876
2.5;0.282788
2.6;0.29165
2.7;0.294873
2.8;0.298096
2.9;0.302124
3;0.307764
3.1;0.311792
3.2;0.314209
3.3;0.317432
3.4;0.322266
3.5;0.325488
3.6;0.3271
3.7;0.327905
3.8;0.335962
3.9;0.334351
4;0.336768
4.1;0.33999
4.2;0.342407
4.3;0.344824
4.4;0.344824
4.5;0.349658
4.6;0.352075
4.7;0.355298
4.8;0.355298
4.9;0.356104
5;0.356909
5.1;0.360937
5.2;0.360937
5.3;0.36416
5.4;0.364966
5.5;0.364966
5.6;0.368188
5.7;0.368188
5.8;0.370605
5.9;0.371411
6;0.372217
6.1;0.374634
6.2;0.376245
6.3;0.377856
6.4;0.378662
6.5;0.379468
6.6;0.381079
6.7;0.381079
6.8;0.381079
6.9;0.381079
7;0.381079
7.1;0.383496
7.2;0.381885
7.3;0.385107
7.4;0.387524
7.5;0.385107
7.6;0.389941
7.7;0.392358
7.8;0.387524
7.9;0.393164
8;0.387524
8.1;0.392358
8.2;0.39397
8.3;0.39397
8.4;0.396387
8.5;0.393164
8.6;0.395581
8.7;0.397998
8.8;0.399609
8.9;0.397998
9;0.400415
9.1;0.399609
9.2;0.402832
9.3;0.398804
9.4;0.400415
9.5;0.400415
9.6;0.405249
9.7;0.402026
9.8;0.40686
9.9;0.402832
10;0.403638
10.1;0.407666
10.2;0.408472
10.3;0.409277
10.4;0.407666
10.5;0.410889
10.6;0.409277
10.7;0.408472
10.8;0.414917
10.9;0.410889
11;0.413306
11.1;0.416528
11.2;0.414111
11.3;0.4125
11.4;0.411694
11.5;0.414111
11.6;0.411694
11.7;0.4125
11.8;0.417334
11.9;0.414917
12;0.414111
12.1;0.41814
12.2;0.418945
12.3;0.419751
12.4;0.416528
12.5;0.420557
12.6;0.41814
12.7;0.422168
12.8;0.425391
12.9;0.422168
13;0.419751
13.1;0.418945
13.2;0.419751
13.3;0.422168
13.4;0.420557
13.5;0.422168
13.6;0.423779
13.7;0.422168
13.8;0.425391
13.9;0.426196
14;0.421362
14.1;0.425391
14.2;0.426196
14.3;0.422974
14.4;0.424585
14.5;0.424585
14.6;0.427002
14.7;0.427002
14.8;0.427002
14.9;0.425391
15;0.425391
15.1;0.426196
15.2;0.428613
15.3;0.427002
15.4;0.428613
15.5;0.430225
15.6;0.428613
15.7;0.428613
15.8;0.427808
15.9;0.427808
16;0.430225
16.1;0.427808
16.2;0.427808
16.3;0.428613
16.4;0.428613
16.5;0.427808
16.6;0.427808
16.7;0.427808
16.8;0.428613
16.9;0.428613
17;0.428613
17.1;0.43103
17.2;0.429419
17.3;0.430225
17.4;0.428613
17.5;0.429419
17.6;0.430225
17.7;0.43103
17.8;0.428613
17.9;0.429419
18;0.429419
18.1;0.431836
18.2;0.43103
18.3;0.428613
18.4;0.429419
18.5;0.429419
18.6;0.429419
18.7;0.430225
18.8;0.430225
18.9;0.429419
19;0.430225
19.1;0.430225
19.2;0.431836
19.3;0.428613
19.4;0.429419
19.5;0.430225
19.6;0.431836
19.7;0.43103
19.8;0.43103
19.9;0.431836
20;0.432642
20.1;0.430225
20.2;0.431836
20.3;0.430225
20.4;0.43103
20.5;0.432642
20.6;0.434253
20.7;0.431836
20.8;0.431836
20.9;0.431836
21;0.432642
21.1;0.431836
21.2;0.432642
21.3;0.43103
21.4;0.43103
21.5;0.431836
21.6;0.432642
21.7;0.431836
21.8;0.433447
21.9;0.434253
22;0.435864
22.1;0.434253
22.2;0.431836
22.3;0.434253
22.4;0.43667
22.5;0.435864
22.6;0.433447
22.7;0.435059
22.8;0.433447
22.9;0.432642
23;0.433447
23.1;0.435864
23.2;0.433447
23.3;0.433447
23.4;0.432642
23.5;0.433447
23.6;0.434253
23.7;0.437476
23.8;0.435059
23.9;0.433447
24;0.435059
24.1;0.435059
24.2;0.437476
24.3;0.437476
24.4;0.434253
24.5;0.438281
24.6;0.43667
24.7;0.437476
24.8;0.43667
24.9;0.435864
25;0.438281
25.1;0.435864
25.2;0.435059
25.3;0.434253
25.4;0.43667
25.5;0.435864
25.6;0.435864
25.7;0.435864
25.8;0.435059
25.9;0.43667
26;0.439087
26.1;0.439087
26.2;0.43667
26.3;0.438281
26.4;0.438281
26.5;0.43667
26.6;0.439893
26.7;0.437476
26.8;0.439087
26.9;0.435059
27;0.43667
27.1;0.43667
