Lenlab red 7.5 Voltmeter-Daten
Zeit;Kanal_4
0;0.0539795
0.1;0.0555908
0.2;0.0539795
0.3;0.0507568
0.4;0.0499512
0.5;0.0523682
0.6;0.0523682
0.7;0.0515625
0.8;0.0531738
0.9;0.0515625
1;0.0523682
1.1;0.0531738
1.2;0.0547852
1.3;0.0531738
1.4;0.0660645
1.5;0.0805664
1.6;0.0902344
1.7;0.0894287
1.8;0.0942627
1.9;0.095874
2;0.0990967
2.1;0.0999023
2.2;0.101514
2.3;0.103125
2.4;0.102319
2.5;0.104736
2.6;0.105542
2.7;0.104736
2.8;0.106348
2.9;0.107959
3;0.111182
3.1;0.10957
3.2;0.111987
3.3;0.113599
3.4;0.116016
3.5;0.11521
3.6;0.116821
3.7;0.117627
3.8;0.119238
3.9;0.118433
4;0.117627
4.1;0.120044
4.2;0.118433
4.3;0.120044
4.4;0.121655
4.5;0.12085
4.6;0.120044
4.7;0.12085
4.8;0.124072
4.9;0.123267
5;0.123267
5.1;0.124878
5.2;0.123267
5.3;0.127295
5.4;0.125684
5.5;0.122461
5.6;0.124878
5.7;0.125684
5.8;0.124072
5.9;0.128906
6;0.127295
6.1;0.126489
6.2;0.126489
6.3;0.127295
6.4;0.125684
6.5;0.125684
6.6;0.127295
6.7;0.127295
6.8;0.126489
6.9;0.128906
7;0.127295
7.1;0.128906
7.2;0.130518
7.3;0.129712
7.4;0.129712
7.5;0.130518
7.6;0.132935
7.7;0.130518
7.8;0.128906
7.9;0.132129
8;0.131323
8.1;0.130518
8.2;0.134546
8.3;0.134546
8.4;0.132935
8.5;0.13374
8.6;0.13374
8.7;0.134546
8.8;0.13374
8.9;0.13374
9;0.132129
9.1;0.135352
9.2;0.137769
9.3;0.13374
9.4;0.132129
9.5;0.135352
9.6;0.136963
9.7;0.13374
9.8;0.135352
9.9;0.134546
10;0.136157
10.1;0.138574
10.2;0.135352
10.3;0.134546
10.4;0.137769
10.5;0.135352
10.6;0.13938
10.7;0.138574
10.8;0.136963
10.9;0.13938
11;0.138574
11.1;0.136157
11.2;0.138574
11.3;0.136963
11.4;0.140186
11.5;0.136963
11.6;0.135352
11.7;0.136963
11.8;0.138574
11.9;0.138574
12;0.138574
12.1;0.13938
12.2;0.138574
12.3;0.141797
12.4;0.142603
12.5;0.136963
12.6;0.138574
12.7;0.137769
12.8;0.140186
12.9;0.138574
13;0.140991
13.1;0.140186
13.2;0.138574
13.3;0.140186
13.4;0.141797
13.5;0.140991
13.6;0.138574
