Lenlab red 7.5 Voltmeter-Daten
Zeit;Kanal_4
0;2.6321
1;2.6321
2;2.63291
3;2.6313
4;2.63372
5;2.6313
6;2.63049
7;2.6321
8;2.6321
9;2.6321
10;2.63452
11;2.6313
12;2.63372
13;2.63372
14;2.63291
15;2.63372
16;2.63372
17;2.63372
18;2.63372
19;2.63452
20;2.6321
21;2.6313
22;2.63452
23;2.6321
24;2.62969
25;2.6321
26;2.6321
27;2.63372
28;2.63372
29;2.63291
30;2.63533
31;2.63291
32;2.63291
33;2.63372
34;2.63452
35;2.6321
36;2.63533
37;2.63613
38;2.63694
39;2.63049
40;2.63049
41;2.63291
42;2.63533
43;2.63291
44;2.63291
45;2.6313
46;2.63049
47;2.6321
48;2.63452
49;2.63291
50;2.6321
51;2.63049
52;2.63291
53;2.6313
54;2.6313
55;2.63372
56;2.63291
57;2.63291
58;2.63372
59;2.63291
60;2.6321
61;2.63291
62;2.63372
63;2.63049
64;2.6321
65;2.63372
66;2.63291
67;2.63291
68;2.6321
69;2.63049
70;2.6321
71;2.63291
72;2.63291
73;2.63452
74;2.6313
75;2.62969
76;2.63291
77;2.6321
78;2.63452
79;2.6321
80;2.6321
81;2.63049
82;2.63372
83;2.6313
84;2.6313
85;2.62888
86;2.6313
87;2.62969
88;2.63372
89;2.63533
90;2.63452
91;2.63291
92;2.6313
93;2.6321
94;2.63533
95;2.6321
96;2.63291
97;2.63291
98;2.63452
99;2.63049
100;2.6321
101;2.6313
102;2.63452
103;2.63452
104;2.63452
105;2.6321
106;2.63372
107;2.63372
108;2.63452
109;2.6321
110;2.63291
111;2.63372
112;2.63372
113;2.63291
114;2.63291
115;2.6313
116;2.63372
117;2.63291
118;2.63291
119;2.63291
120;2.63291
121;2.63291
122;2.63372
123;2.63452
124;2.63452
125;2.63452
126;2.63533
127;2.63372
128;2.63613
129;2.63372
130;2.63533
131;2.63291
132;2.63291
133;2.6313
134;2.6313
135;2.6321
136;2.63291
137;2.6313
138;2.63452
139;2.63452
140;2.63372
141;2.63372
142;2.63533
143;2.6313
144;2.63694
145;2.63533
146;2.63533
147;2.63533
148;2.63372
149;2.63452
150;2.63533
151;2.63533
152;2.63372
153;2.6313
154;2.63452
155;2.63533
156;2.63452
157;2.63452
158;2.63855
159;2.63533
160;2.63613
161;2.63452
162;2.63452
163;2.63774
164;2.63533
165;2.63533
166;2.63452
167;2.63452
168;2.63533
169;2.63372
170;2.6321
171;2.63372
172;2.6321
173;2.63372
174;2.63372
175;2.6313
176;2.63533
177;2.63372
178;2.63291
179;2.63291
180;2.63533
181;2.63372
182;2.63533
183;2.63533
184;2.63694
185;2.63372
186;2.6321
187;2.63452
188;2.63533
189;2.63694
190;2.63613
191;2.63452
192;2.63291
193;2.63533
194;2.63533
195;2.63452
196;2.63291
197;2.6313
198;2.63372
199;2.6321
200;2.63452
201;2.6321
202;2.63372
203;2.63291
204;2.6313
205;2.63291
206;2.6313
207;2.6313
208;2.63613
209;2.6321
210;2.6313
211;2.63049
212;2.62969
213;2.63291
214;2.6313
215;2.63291
216;2.63049
217;2.63049
218;2.63613
219;2.6321
220;2.62969
221;2.63291
222;2.63372
223;2.63049
224;2.62969
225;2.63049
226;2.63049
227;2.6313
228;2.62969
229;2.6313
230;2.6313
231;2.62888
232;2.63291
233;2.63049
234;2.63291
235;2.63291
236;2.6313
237;2.62969
238;2.63452
239;2.63291
240;2.62969
241;2.63049
242;2.63372
243;2.62888
244;2.6313
245;2.62969
246;2.6321
247;2.62969
248;2.6321
249;2.63372
250;2.6313
251;2.63049
252;2.63291
253;2.63291
254;2.63452
255;2.63291
256;2.6321
257;2.62888
258;2.63049
259;2.6321
260;2.6321
261;2.63291
262;2.63372
263;2.63452
264;2.63291
265;2.62969
266;2.6321
267;2.63452
268;2.6321
269;2.63613
270;2.63291
271;2.63372
272;2.63533
273;2.63452
274;2.63291
275;2.63452
276;2.63452
277;2.6321
278;2.63372
279;2.63452
280;2.63452
281;2.63613
282;2.63533
283;2.63533
284;2.63372
285;2.63855
286;2.63452
287;2.63291
288;2.63291
289;2.63936
290;2.63613
291;2.63452
292;2.63533
293;2.63452
294;2.63452
295;2.63533
296;2.63452
297;2.6321
298;2.63291
299;2.63049
300;2.6313
301;2.63372
302;2.6313
303;2.63049
304;2.63452
305;2.6321
306;2.6321
307;2.63372
308;2.6321
309;2.6321
310;2.63452
311;2.63452
312;2.63533
313;2.63613
314;2.63291
315;2.6321
316;2.63613
317;2.63452
318;2.63694
319;2.63452
320;2.63533
321;2.63452
322;2.63694
323;2.63452
324;2.6313
325;2.63452
326;2.63452
327;2.63533
328;2.63291
329;2.63533
330;2.63372
331;2.63533
332;2.63452
333;2.63452
334;2.6321
335;2.6321
336;2.63452
337;2.63452
338;2.63452
339;2.63452
340;2.63694
341;2.63291
342;2.6321
343;2.6313
344;2.6321
345;2.63291
346;2.63452
347;2.6313
348;2.6313
349;2.6321
350;2.63291
351;2.6313
352;2.63049
353;2.6321
354;2.6321
355;2.63049
356;2.6321
357;2.63452
358;2.63291
359;2.63613
360;2.63372
361;2.6313
362;2.63452
363;2.63291
364;2.63452
365;2.6321
366;2.63372
367;2.63372
368;2.63372
369;2.63372
370;2.63533
371;2.63291
372;2.63452
373;2.63291
374;2.63291
375;2.63372
376;2.63291
377;2.63372
378;2.6321
379;2.63533
380;2.63372
381;2.63291
382;2.63372
383;2.6313
384;2.6313
385;2.63452
386;2.63613
387;2.6321
388;2.63372
389;2.63452
390;2.63613
391;2.6321
392;2.63291
393;2.6313
394;2.6321
395;2.63533
396;2.6321
397;2.63452
398;2.63291
399;2.63533
400;2.63452
401;2.63372
402;2.63452
403;2.63372
404;2.63291
405;2.63291
406;2.63533
407;2.63291
408;2.63533
409;2.63533
410;2.63452
411;2.63613
412;2.63533
413;2.63533
414;2.63694
415;2.63372
416;2.63452
417;2.63291
418;2.63452
419;2.63533
420;2.63613
421;2.63694
422;2.63694
423;2.63613
424;2.63533
425;2.63533
426;2.63694
427;2.63533
428;2.63613
429;2.63452
430;2.63452
431;2.63774
432;2.63694
433;2.63452
434;2.63774
435;2.63533
436;2.63372
437;2.63774
438;2.63613
439;2.63694
440;2.63613
441;2.63452
442;2.63533
443;2.63855
