Lenlab red 7.5 Voltmeter-Daten
Zeit;Kanal_1
0;1.36641
1;1.36802
2;1.3656
3;1.36721
4;1.36882
5;1.36882
6;1.36721
7;1.36882
8;1.36802
9;1.3656
10;1.36802
11;1.36641
12;1.36641
13;1.3656
14;1.36641
15;1.36882
16;1.36882
17;1.36721
18;1.36721
19;1.37205
20;1.36802
21;1.36882
22;1.36721
23;1.36882
24;1.37043
25;1.36882
26;1.37124
27;1.36721
28;1.37043
29;1.36802
30;1.36882
31;1.37124
32;1.37124
33;1.36802
34;1.37124
35;1.36721
36;1.36882
37;1.36721
38;1.36802
39;1.36721
40;1.3656
41;1.36802
42;1.36882
43;1.37043
44;1.36641
45;1.36641
46;1.36802
47;1.3656
48;1.3656
49;1.36963
50;1.36641
51;1.36721
52;1.3656
53;1.3656
54;1.36479
55;1.3656
56;1.3656
57;1.36479
58;1.36479
59;1.36238
60;1.36641
61;1.36238
62;1.36399
63;1.36318
64;1.36318
65;1.36077
66;1.36157
67;1.36157
68;1.36077
69;1.35835
70;1.36157
71;1.35996
72;1.36157
73;1.35835
74;1.35674
75;1.35754
76;1.35593
77;1.35593
78;1.35674
79;1.35674
80;1.35513
81;1.35593
82;1.35593
83;1.35432
84;1.3511
85;1.3519
86;1.3519
87;1.35271
88;1.3519
89;1.3511
90;1.34868
91;1.34868
92;1.34868
93;1.34788
94;1.34465
95;1.34707
96;1.34465
97;1.34304
98;1.34546
99;1.34304
100;1.34304
101;1.34143
102;1.34062
103;1.34062
104;1.33982
105;1.33982
106;1.3366
107;1.33982
108;1.3374
109;1.33499
110;1.33337
111;1.33257
112;1.33418
113;1.33257
114;1.33176
115;1.32854
116;1.32935
117;1.32693
118;1.33015
119;1.32935
120;1.32854
121;1.32773
122;1.32935
123;1.32371
124;1.32693
125;1.32371
126;1.32371
127;1.32371
128;1.32129
129;1.32129
130;1.32048
131;1.32129
132;1.32129
133;1.31807
134;1.31807
135;1.32129
136;1.31807
137;1.31646
138;1.31323
139;1.31726
140;1.31404
141;1.31646
142;1.31484
143;1.31243
144;1.31162
145;1.31162
146;1.31162
147;1.3084
148;1.31162
149;1.30759
150;1.30759
151;1.30598
152;1.30679
153;1.30518
154;1.30437
155;1.30276
156;1.30195
157;1.30276
158;1.30356
159;1.30115
160;1.30195
161;1.29792
162;1.29792
163;1.29631
164;1.29873
165;1.29551
166;1.29551
167;1.29792
168;1.2939
169;1.2939
170;1.29309
171;1.29309
172;1.29229
173;1.2947
174;1.28987
175;1.29229
176;1.28745
177;1.28745
178;1.28665
179;1.28745
180;1.28584
181;1.28503
182;1.28503
183;1.28342
184;1.28342
185;1.28342
186;1.28423
187;1.28101
188;1.28101
189;1.27939
190;1.27939
191;1.27859
192;1.27778
193;1.27456
194;1.27698
195;1.27456
196;1.27214
197;1.27456
198;1.27134
199;1.27214
200;1.26892
201;1.26973
202;1.26812
203;1.2665
204;1.26892
205;1.2657
206;1.2665
207;1.26409
208;1.26328
209;1.26248
210;1.26167
211;1.25925
212;1.25925
213;1.25764
214;1.25522
215;1.25442
216;1.25442
217;1.252
218;1.25039
219;1.252
220;1.24878
221;1.24797
222;1.24556
223;1.24556
224;1.24797
225;1.24395
226;1.24153
227;1.24072
228;1.24072
229;1.24153
230;1.2375
231;1.2375
232;1.23669
233;1.23589
234;1.23267
235;1.23186
236;1.23025
237;1.23025
238;1.23025
239;1.22703
240;1.22944
241;1.22622
242;1.22461
243;1.22139
244;1.21897
245;1.22058
246;1.21736
247;1.21978
248;1.21575
249;1.21333
250;1.21494
251;1.21252
252;1.21091
253;1.2093
254;1.20769
255;1.2085
256;1.20527
257;1.20286
258;1.20366
259;1.20125
260;1.19963
261;1.19883
262;1.19963
263;1.19722
264;1.19641
265;1.19561
266;1.19802
267;1.19238
268;1.19561
269;1.19077
270;1.19077
271;1.18916
272;1.18916
273;1.18997
274;1.18916
275;1.18594
276;1.18433
277;1.18513
278;1.18271
279;1.18191
280;1.1811
281;1.17869
282;1.17627
283;1.17708
284;1.17869
285;1.17546
286;1.17466
287;1.17385
288;1.17305
289;1.17224
290;1.17144
291;1.16902
292;1.16821
293;1.16982
294;1.16741
295;1.16821
296;1.16741
297;1.16499
298;1.16257
299;1.16338
300;1.16177
301;1.15854
302;1.15854
303;1.15693
304;1.15532
305;1.15532
306;1.15371
307;1.15452
308;1.1521
309;1.15049
310;1.15291
311;1.14727
312;1.14565
313;1.14727
314;1.14807
315;1.14485
316;1.14404
317;1.14324
318;1.14404
319;1.14243
320;1.14082
321;1.13921
322;1.14082
323;1.1376
324;1.1384
325;1.13921
326;1.13679
327;1.13599
328;1.13276
329;1.13035
330;1.13035
331;1.13276
332;1.13115
333;1.12954
334;1.12793
335;1.12551
336;1.12632
337;1.12471
338;1.12229
339;1.1231
340;1.11907
341;1.1239
342;1.11907
343;1.11746
344;1.11907
345;1.11665
346;1.11504
347;1.11504
348;1.11504
349;1.11343
350;1.1094
351;1.11343
352;1.11021
353;1.10779
354;1.11021
355;1.10859
356;1.10779
357;1.10457
358;1.10457
359;1.10295
360;1.09973
361;1.09893
362;1.10054
363;1.09812
364;1.0949
365;1.0957
366;1.0949
367;1.09409
368;1.09248
369;1.0949
370;1.09329
371;1.09006
372;1.08845
373;1.08845
374;1.08604
375;1.08362
376;1.08523
377;1.08442
378;1.08201
379;1.08281
380;1.08362
381;1.07878
382;1.07878
383;1.07798
384;1.07717
385;1.07556
386;1.07556
387;1.07314
388;1.07314
389;1.07073
390;1.06912
391;1.06912
392;1.0675
393;1.06589
394;1.06428
395;1.06589
396;1.06348
397;1.06187
398;1.06106
399;1.06428
400;1.06106
401;1.06187
402;1.06025
403;1.05703
404;1.05945
405;1.05784
406;1.05623
407;1.05542
408;1.05381
409;1.05381
410;1.053
411;1.05059
412;1.05139
413;1.04817
414;1.04978
415;1.04817
416;1.04656
417;1.04656
418;1.04495
419;1.04495
420;1.04333
421;1.04253
422;1.04253
423;1.04011
424;1.04092
425;1.04011
426;1.04092
427;1.0385
428;1.04011
429;1.0377
430;1.0385
431;1.03608
432;1.0377
433;1.03367
434;1.03367
435;1.03367
436;1.03206
437;1.03528
438;1.03367
439;1.03528
440;1.03125
441;1.03044
442;1.03044
443;1.03125
444;1.02964
445;1.02803
446;1.02722
447;1.02722
448;1.02722
449;1.024
450;1.0248
451;1.02319
452;1.024
453;1.02078
454;1.02561
455;1.02239
456;1.02239
457;1.02078
458;1.02158
459;1.02078
460;1.02078
461;1.01836
462;1.01917
463;1.01917
464;1.02078
465;1.02078
466;1.01755
467;1.01836
468;1.01514
469;1.01755
470;1.01675
471;1.01594
472;1.01514
473;1.01755
474;1.01272
475;1.01594
476;1.01191
477;1.01191
478;1.01111
479;1.01111
480;1.01272
481;1.0103
482;1.0095
483;1.01433
484;1.0103
485;1.0095
486;1.0103
487;1.0095
488;1.0103
489;1.00708
490;1.0103
491;1.0103
492;1.01191
493;1.00708
494;1.0095
495;1.01111
496;1.00708
497;1.00869
498;1.00869
499;1.0095
500;1.0095
501;1.0095
502;1.00869
503;1.00627
504;1.00627
505;1.00627
506;1.00627
507;1.00708
508;1.00466
509;1.00547
510;1.00547
511;1.00789
512;1.00869
513;1.00789
514;1.00466
515;1.00466
516;1.00627
517;1.00789
518;1.00547
519;1.00547
520;1.00305
521;1.00547
522;1.00547
523;1.00708
524;1.00547
525;1.00547
526;1.00547
527;1.00627
528;1.00627
529;1.00547
530;1.00547
531;1.00627
532;1.00627
533;1.00789
534;1.00547
535;1.00466
536;1.00466
537;1.00386
538;1.00708
539;1.00305
540;1.00386
541;1.00627
542;1.00547
543;1.00547
544;1.00466
545;1.00708
546;1.00547
547;1.00305
548;1.00466
549;1.00466
550;1.00466
551;1.00547
552;1.00547
553;1.00386
554;1.00789
555;1.00789
556;1.00789
557;1.00547
558;1.00466
559;1.00627
560;1.00305
561;1.00547
562;1.00466
563;1.00708
564;1.00789
565;1.00386
566;1.00466
567;1.00386
568;1.00627
569;1.00708
570;1.00547
571;1.00547
572;1.00386
573;1.00708
574;1.00466
575;1.00547
576;1.00627
577;1.00466
578;1.00386
579;1.00386
580;1.00547
581;1.00627
582;1.00547
583;1.00789
584;1.00627
585;1.00466
586;1.00466
587;1.00547
588;1.00789
589;1.00789
590;1.00708
591;1.00547
592;1.00225
593;1.00547
594;1.00708
595;1.00547
596;1.00869
597;1.00869
598;1.00708
599;1.00869
600;1.00627
601;1.00627
602;1.00547
603;1.00708
604;1.00627
605;1.0103
606;1.00627
607;1.00466
608;1.00627
609;1.00627
610;1.00547
611;1.00627
612;1.00466
613;1.00708
614;1.00869
