Lenlab red 7.5 Voltmeter-Daten
Zeit;Kanal_4
0;0.857227
0.1;0.854004
0.2;0.854004
0.3;0.851587
0.4;0.853198
0.5;0.85481
0.6;0.850781
0.7;0.851587
0.8;0.85481
0.9;0.854004
1;0.85481
1.1;0.855615
1.2;0.855615
1.3;0.852393
1.4;0.853198
1.5;0.85481
1.6;0.850781
1.7;0.85481
1.8;0.853198
1.9;0.850781
2;0.853198
2.1;0.856421
2.2;0.851587
2.3;0.852393
2.4;0.852393
2.5;0.84917
2.6;0.850781
2.7;0.851587
2.8;0.849976
2.9;0.851587
3;0.854004
3.1;0.853198
3.2;0.850781
3.3;0.850781
3.4;0.852393
3.5;0.853198
3.6;0.851587
3.7;0.84917
3.8;0.854004
3.9;0.852393
4;0.84917
4.1;0.854004
4.2;0.852393
4.3;0.849976
4.4;0.850781
4.5;0.851587
4.6;0.854004
4.7;0.852393
4.8;0.850781
4.9;0.850781
5;0.849976
5.1;0.851587
5.2;0.851587
5.3;0.850781
5.4;0.848364
5.5;0.851587
5.6;0.851587
5.7;0.854004
5.8;0.850781
5.9;0.849976
6;0.848364
6.1;0.854004
6.2;0.84917
6.3;0.84917
6.4;0.850781
6.5;0.849976
6.6;0.852393
6.7;0.849976
6.8;0.84917
6.9;0.853198
7;0.850781
7.1;0.851587
7.2;0.850781
7.3;0.84917
7.4;0.853198
7.5;0.848364
7.6;0.846753
7.7;0.849976
7.8;0.847559
